Date,AAPL,AMZN,GOOG,META,MSFT,NIO,NVDA,RIVN,TSLA
2024-05-24,189.0956573,180.75,175.2880859,476.1154175,426.8870544,4.829999924,106.4266357,10.43999958,179.2400055
2024-05-28,189.1056061,182.1499939,176.9680786,477.8079224,427.0458679,4.900000095,113.8556824,10.42000008,176.75
2024-05-29,189.4042206,182.0200043,176.3517456,472.2723694,425.9046326,4.929999828,114.7793045,10.22000027,176.1900024
2024-05-30,190.3995667,179.3200073,172.5344391,464.9945374,411.5149536,5.400000095,110.4560318,10.97000027,178.7899933
2024-05-31,191.3551025,176.4400024,172.9320526,464.7755127,411.9714355,5.389999866,109.5893784,10.92000008,178.0800018
2024-06-03,193.1268005,178.3399963,173.3893433,475.3885803,410.3736877,5.340000153,114.9542465,11.39999962,176.2899933
2024-06-04,193.4453278,179.3399963,174.0951538,474.8908081,412.9042969,5.210000038,116.3906784,11.22000027,174.7700043
2024-06-05,194.9582367,181.2799988,176.0236969,492.8812866,420.7838745,5.269999981,122.3912811,11.44999981,175
2024-06-06,193.574707,185,177.2961273,491.5870056,421.289978,4.909999847,120.9498596,11.73999977,177.9400024
2024-06-07,195.9734955,184.3000031,174.9103088,490.7905273,420.6250916,4.829999924,120.8399048,11.52000046,177.4799957
2024-06-10,192.2210388,187.0599976,175.7861176,500.3881226,424.614502,4.71999979,121.741539,11.86999989,173.7899933
2024-06-11,206.18573,187.2299957,177.3386383,505.2366943,429.3878784,4.460000038,120.8718185,11.82999992,170.6600037
2024-06-12,212.078186,186.8899994,178.7021027,506.600647,437.7041321,4.449999809,125.1604538,11.80000019,177.2899933
2024-06-13,213.2427521,183.8300018,175.8955688,501.8815308,438.2201843,4.409999847,129.5690613,11.10999966,182.4700012
2024-06-14,211.500885,183.6600037,177.5177917,502.4396362,439.2026672,4.329999924,131.8383636,10.88000011,178.0099945
2024-06-17,215.6614227,184.0599976,177.925827,504.9011841,444.9584961,4.429999828,130.9386444,10.96000004,187.4400024
2024-06-18,213.2924805,182.8099976,175.6069641,497.7855225,442.9439392,4.429999828,135.5371857,11.02000046,184.8600006
2024-06-20,208.703949,186.1000061,176.8609619,499.9880066,442.3088684,4.329999924,130.7387085,10.32999992,181.5700073
2024-06-21,206.5241699,189.0800018,179.3987579,493.0916138,446.3577881,4.300000191,126.5300217,10.31999969,183.0099945
2024-06-24,207.1711426,185.5700073,179.9262085,497.2075195,444.2638855,4.440000057,118.0727005,11.01000023,182.5800018
2024-06-25,208.0968018,186.3399963,184.6933441,508.857605,447.5188904,4.369999886,126.0501709,11.96000004,187.3500061
2024-06-26,212.2573395,193.6100006,184.484314,511.3690186,448.7196655,4.639999866,126.3600845,14.73999977,196.3699951
2024-06-27,213.1034088,197.8500061,185.9672241,517.7869873,449.4044495,4.389999866,123.9508362,14.47000027,197.4199982
2024-06-28,209.6395721,193.25,182.5436554,502.4993896,443.5493469,4.159999847,123.5009842,13.42000008,197.8800049
2024-07-01,215.7410431,197.1999969,183.6085358,502.9578247,453.2549133,4.440000057,124.2607498,13.92000008,209.8600006
2024-07-02,219.2446747,200,185.7184143,507.7613525,455.7854919,4.53000021,122.6312561,14.89000034,231.2599945
2024-07-03,220.5187225,197.5899963,186.4946899,508.2197876,457.2641602,4.869999886,128.2394867,14.64999962,246.3899994
2024-07-05,225.2863922,200,191.0428619,538.067627,464.0025024,4.619999886,125.7902603,14.78999996,251.5200043
2024-07-08,226.7595367,199.2899933,189.569931,527.5137939,462.6925659,4.460000038,128.1595001,15.48999977,252.9400024
2024-07-09,227.615509,199.3399963,189.5301208,528.1914673,456.0435486,4.5,131.3385162,15.71000004,262.3299866
2024-07-10,231.8954926,199.7899933,191.7395172,532.8654175,462.7024536,4.619999886,134.8674011,16.37000084,263.2600098
2024-07-11,226.5106964,195.0500031,186.4051208,510.95047,451.2403564,4.679999828,127.3597717,16.76000023,241.0299988
2024-07-12,229.4668579,194.4900055,185.8876038,497.1676331,450.0990906,4.869999886,129.1992035,18.11000061,248.2299957
2024-07-15,233.3088837,192.7200012,187.290863,494.4669189,450.5059814,4.630000114,128.3994446,17.5,252.6399994
2024-07-16,233.7269287,193.0200043,184.6137085,488.1186218,446.099762,4.900000095,126.3200912,17.94000053,256.5599976
2024-07-17,227.8145905,187.9299927,181.7474823,460.4135132,440.1454163,4.590000153,117.9527359,17.19000053,248.5
2024-07-18,223.1364441,183.75,178.363739,474.2262268,437.0194092,4.539999962,121.0517502,16.89999962,249.2299957
2024-07-19,223.2658539,183.1300049,178.5328979,475.1629944,433.7841797,4.460000038,117.8927612,16.75,239.1999969
2024-07-22,222.9174805,182.5500031,182.473999,485.7367859,439.5698547,4.690000057,123.5009842,17.21999931,251.5099945
2024-07-23,223.9626007,186.4100037,182.7227936,487.0223694,441.465332,4.480000019,122.5512848,17.5,246.3800049
2024-07-24,217.5226898,180.8300018,173.5368958,459.6959534,425.6366577,4.300000191,114.213913,16.27000046,215.9900055
2024-07-25,216.4776154,179.8500061,168.3517761,451.862793,415.2165527,4.269999981,112.2445374,16.25,220.25
2024-07-26,216.9454193,182.5,167.8740845,464.1108398,422.0342712,4.429999828,113.0242844,16.20999908,219.8000031
2024-07-29,217.2241211,183.1999969,170.3123779,464.1208191,423.4831848,4.389999866,111.5547562,16.29999924,232.1000061
2024-07-30,217.7815247,181.7100067,171.0388947,461.6094055,419.702179,4.420000076,103.6972427,16.21999931,222.6199951
2024-07-31,221.0462341,186.9799957,172.3227081,473.2096252,415.1669312,4.440000057,116.9830322,16.40999985,232.0700073
2024-08-01,217.3435516,184.0700073,171.6260529,496.0414734,413.9363403,4.059999943,109.1755142,15.23999977,216.8600006
2024-08-02,218.8365631,167.8999939,167.5954132,486.4742737,405.381958,4.050000191,107.2361145,14.72000027,207.6699982
2024-08-05,208.2958527,161.0200043,159.8724976,474.1066284,392.1434631,3.890000105,100.4182739,14.60999966,198.8800049
2024-08-06,206.2653503,161.9299927,159.7729645,492.4039307,396.569519,3.769999981,104.2170715,14.80000019,200.6399994
2024-08-07,208.8433228,162.7700043,159.9819794,487.2516174,395.3984985,3.670000076,98.87876892,13.78499985,191.7599945
2024-08-08,212.3170624,165.8000031,163.0571899,507.8909607,399.6260986,3.819999933,104.9368515,14.72000027,198.8399963
2024-08-09,215.233429,166.9400024,164.5998077,516.0031738,402.9307251,3.779999971,104.7169189,13.94999981,200
2024-08-12,216.7680359,166.8000031,163.166687,514.1894531,403.7147217,3.75999999,108.9855728,13.39000034,197.4900055
2024-08-13,220.4949493,170.2299957,165.1371918,526.7363892,410.8599548,3.890000105,116.1033173,13.53999996,207.8300018
2024-08-14,220.9433594,170.1000061,161.2558441,524.9625244,413.6882629,3.720000029,118.042717,13.25,201.3800049
2024-08-15,223.9328461,177.5899963,162.3904114,535.4963989,418.5796204,3.829999924,122.8212051,13.76000023,214.1399994
2024-08-16,225.258194,177.0599976,163.9529114,525.6202393,416.0345154,3.950000048,124.5406494,13.21000004,216.1199951
2024-08-19,225.0987396,178.2200012,167.5954132,527.473938,419.0767212,4.070000172,129.9589539,13.52999973,222.7200012
2024-08-20,225.7165833,178.8800049,168.1527557,524.9325562,422.3276978,3.849999905,127.2098083,13.19999981,221.1000061
2024-08-21,225.6069641,180.1100006,166.8290863,533.3338623,421.6715698,3.99000001,128.4594269,13.06999969,223.2700043
2024-08-22,223.7434998,176.1300049,164.6993256,530.1148071,413.1315002,3.99000001,123.7009201,12.81000042,210.6600037
2024-08-23,226.0454254,177.0399933,166.6300354,526.1982422,414.3643188,4.079999924,129.3291321,13.96000004,220.3200073
2024-08-26,226.3842163,175.5,167.127655,519.3417969,411.0835266,4.03000021,126.4200592,14.35999966,213.2100067
2024-08-27,227.2312622,173.1199951,165.585083,517.3285522,411.431488,4,128.259491,14.47999954,209.2100067
2024-08-28,225.69664,170.8000031,163.7140503,515.0166016,408.2103271,3.700000048,125.5703354,13.82999992,205.75
2024-08-29,228.9850922,172.1199951,162.6193085,516.4515991,410.7156677,3.940000057,117.5528641,14.09000015,206.2799988
2024-08-30,228.1978607,178.5,164.3211365,519.5310669,414.7122803,4.039999962,119.3323059,14.13000011,214.1100006
2024-09-03,221.9896851,176.25,157.8521881,510.0137024,407.0570984,4.150000095,107.965889,13.14999962,210.6000061
2024-09-04,220.0764008,173.3300018,157.056015,510.9902954,406.5202332,4.239999771,106.1764603,13.27999973,219.4100037
2024-09-05,221.6010437,177.8899994,157.8422394,515.0962524,406.0132446,4.849999905,107.1761398,13.73999977,230.1699982
2024-09-06,220.0465088,171.3899994,151.4031525,498.5628662,399.3621521,5.019999981,102.7975235,13.22999954,210.7299957
2024-09-09,220.1362,175.3999939,149.0214386,503.0674438,403.3587646,5.570000172,106.4363785,13.07999992,216.2700043
2024-09-10,219.3389893,179.5500031,149.4898071,503.0674438,411.7893982,5.480000019,108.0658569,13.22999954,226.1699982
2024-09-11,221.8800659,184.5200043,151.6223755,510.0834351,420.5779419,5.599999905,116.8730774,13.93000031,228.1300049
2024-09-12,221.9896851,187,155.0006256,523.8064575,424.5148926,5.28000021,119.1125641,13.72000027,229.8099976
2024-09-13,221.7206116,186.4900055,157.820816,522.8297729,428.0839844,5.550000191,119.0725632,13.5,230.2899933
2024-09-16,215.5622711,184.8899994,158.4386749,531.9672852,428.8296204,5.400000095,116.7530975,13.19999981,226.7799988
2024-09-17,216.0306091,186.8800049,159.7241974,534.9997559,432.6174622,5.409999847,115.5633774,13.10000038,227.8699951
2024-09-18,219.9169617,186.4299927,160.2523499,536.6257935,428.3027344,5.019999981,113.3438873,12.89999962,227.1999969
2024-09-19,228.0683136,189.8699951,162.6739349,557.7236328,436.1368713,5.400000095,117.8428574,13.14999962,243.9199982
2024-09-20,227.40065,191.6000061,164.0690765,559.9681396,432.7367554,5.28000021,115.9732819,11.71000004,238.25
2024-09-23,225.676712,193.8800049,162.5045319,563.0205688,430.98703,5.320000172,116.2332306,11.90999985,250
2024-09-24,226.5735626,193.9600067,163.0725403,561.9432983,426.6722717,5.940000057,120.8421631,11.84000015,254.2700043
2024-09-25,225.5770721,192.5299988,162.4248047,566.9110107,429.5951538,5.650000095,123.4815598,11.02999973,257.019989
2024-09-26,226.7230377,191.1600037,163.2618866,566.4421997,428.7998047,5.78000021,124.0114365,11.17000008,254.2200012
2024-09-27,226.9920807,187.9700012,164.7168274,565.9633179,425.5289612,6.519999981,121.3720474,11.60000038,260.4599915
2024-09-30,232.1838379,186.3300018,166.6102295,571.0308228,427.7956848,6.679999828,121.4120331,11.22000027,261.6300049
